Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
T-Series,245000000,2.28E+11,Music,20082,564600,9000000,2006
YouTube Movies,170000000,0,Film & Animation,1,0,0.05,2006
MrBeast,166000000,28368841870,Entertainment,741,337000,5400000,2012
Cocomelon - Nursery Rhymes,162000000,1.64E+11,Education,966,493800,7900000,2006
SET India,159000000,1.48E+11,Shows,116536,455900,7300000,2006
Music,119000000,0,nan,0,0,0,2013
ııı Kids Diana Show,112000000,93247040539,People & Blogs,1111,182900,2900000,2015
PewDiePie,111000000,29058044447,Gaming,4716,9800,156700,2010
Like Nastya,106000000,90479060027,People & Blogs,493,12200,195800,2016
Vlad and Niki,98900000,77180169894,Entertainment,574,145100,2300000,2018
Zee Music Company,96700000,57856289381,Music,8548,200900,3200000,2014
WWE,96000000,77428473662,Sports,70127,178700,2900000,2007
Gaming,93600000,0,nan,0,0,0,2013
BLACKPINK,89800000,32144597566,People & Blogs,543,124700,2000000,2016
Goldmines,86900000,24118230580,Film & Animation,1,0,0.07,2006
Sony SAB,83000000,1.01E+11,Shows,71270,414300,6600000,2007
5-Minute Crafts,80100000,26236790209,Howto & Style,1,0,0,2020
BANGTANTV,75600000,20826993957,Music,2281,42100,673200,2012
Sports,75000000,0,nan,3,0,0.06,2006
Justin Bieber,71600000,30608119724,Music,249,44100,705300,2007
HYBE LABELS,71300000,28634566938,Music,1337,149500,2400000,2008
Zee TV,70500000,73139054467,Entertainment,129204,426800,6800000,2005
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,2865,118300,1900000,2011
Canal KondZilla,66500000,36775585925,Music,2572,0,0,2012
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,633,105100,1700000,2013
Shemaroo Filmi Gaane,65600000,28648024439,Music,8502,63700,1000000,2010
Colors TV,64600000,61510906457,Shows,112915,296900,4800000,2008
T-Series Bhakti Sagar,61000000,29533230328,Music,13,0,0.04,2018
Dude Perfect,59500000,16241549158,Sports,389,35300,564800,2009
Movieclips,59500000,59316472754,Film & Animation,39113,28700,458700,2006
Tips Official,59300000,33431802698,Music,4741,105700,1700000,2007
El Reino Infantil,58400000,57271630846,Music,1510,153000,2400000,2011
Wave Music,58000000,40602020243,Music,19487,58000,928100,2014
Aaj Tak,57600000,25307753534,News & Politics,283775,115300,1800000,2009
Sony Music India,57200000,28837144516,Music,3882,64800,1000000,2009
EminemMusic,56900000,27073872856,Music,156,65000,1000000,2007
Marshmello,56400000,14696003229,Entertainment,436,28000,448400,2015
YRF,54600000,35302243691,Film & Animation,3707,128000,2000000,2006
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,11,0.04,0.64,2016
Ed Sheeran,53500000,30367676736,Music,383,50700,810900,2006
Infobells - Hindi,53300000,30516172739,Education,577,204000,3300000,2014
Taylor Swift,52900000,29884657286,Music,216,132100,2100000,2006
Ariana Grande,52700000,24004842608,Music,147,40100,640900,2007
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,847,66700,1100000,2013
JuegaGerman,48100000,14631710289,Gaming,2052,16600,265600,2013
Billie Eilish,47900000,13626331061,Music,65,36700,587400,2013
Get Movies,47500000,30788679536,Entertainment,3322,76600,1200000,2006
Shemaroo,47400000,22519705183,Entertainment,11451,58200,931000,2007
Badabun,46800000,19398045702,Entertainment,1,0.11,2,2007
SonyMusicIndiaVEVO,46600000,27286058807,Music,3444,78600,1300000,2009
A4,46300000,22936630813,Gaming,1,0.02,0.38,2006
Bad Bunny,46100000,30686342319,Music,1,0,0,2005
Fernanfloo,46100000,10323391593,Gaming,543,8500,135400,2011
Voot Kids,45500000,21388725229,Entertainment,4660,58500,936000,2016
Felipe Neto,45200000,16602198273,Entertainment,4331,32600,521400,2006
Vocï¿½ï¿½ï¿½,44700000,7828610828,Entertainment,1558,12000,192100,2013
HAR PAL GEO,44600000,41139050371,Entertainment,100755,334300,5300000,2008
BRIGHT SIDE,44500000,10708531817,Howto & Style,0,0,0,2005
Katy Perry,44200000,25458952022,Music,128,33600,537000,2008
whinderssonnunes,44200000,4274709210,Comedy,558,6700,106700,2013
ABS-CBN Entertainment,44200000,50292540392,People & Blogs,193890,44200,706500,2008
Alan Walker,43700000,12884264778,Music,8,0.01,0.09,2006
HolaSoyGerman.,43600000,4831311245,Entertainment,6,0,0.02,2016
Shakira,43500000,27568757295,People & Blogs,326,88400,1400000,2005
ıııııııı ıı ıııııııııııııı,43200000,36458726976,Film & Animation,1478,75900,1200000,2011
ARY Digital HD,43200000,37939780685,Entertainment,109871,287300,4600000,2016
Speed Records,42500000,26820902622,Music,10938,39900,639000,2012
Masha and The Bear,42400000,24519022988,Shows,1218,167600,2700000,2014
